University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
Radford University,Radford University,9798,Virginia,0.30%,1.50%,11.20%,5.10%,0.20%,4.40%,22.70%,0.90%,1.30%,75.20%,57.60%,42.40%
Fashion Institute of Technology,Fashion Institute Technology,9764,New York,0.20%,10.10%,9.60%,16.10%,0.30%,3.40%,39.60%,12.40%,1.60%,46.30%,84.70%,15.30%
College of the Desert,College Desert,9719,California,0.40%,3.10%,3.00%,67.70%,0.20%,2.20%,76.60%,2.60%,0.90%,19.90%,53.20%,46.80%
South Plains College,South Plains College,9661,Texas,0.50%,1.40%,6.30%,40.20%,0.10%,0.00%,48.40%,0.60%,0.00%,51.00%,55.20%,44.80%
Duquesne University,Duquesne University,9648,Pennsylvania,0.10%,1.90%,4.80%,2.60%,0.10%,2.10%,11.60%,5.80%,2.10%,80.50%,60.60%,39.40%
Seton Hall University,Seton Hall University,9627,New Jersey,0.10%,7.10%,11.40%,14.20%,0.30%,2.00%,35.10%,4.20%,10.80%,49.90%,58.60%,41.40%
Normandale Community College,Normandale Community College,9539,Minnesota,0.40%,8.20%,13.60%,8.60%,0.20%,5.20%,36.00%,0.90%,2.30%,60.70%,54.50%,45.50%
Loyola Marymount University,Loyola Marymount University,9515,California,0.20%,11.10%,6.10%,23.00%,0.10%,6.50%,47.00%,7.10%,1.20%,44.70%,58.40%,41.60%
Jackson State University,Jackson State University,9508,Mississippi,0.40%,0.50%,89.30%,0.40%,0.00%,1.00%,91.60%,2.90%,0.00%,5.50%,64.60%,35.40%
Purdue University Calumet,Purdue University Calumet,9501,Indiana,0.20%,2.10%,11.40%,15.50%,0.20%,1.70%,31.10%,9.10%,8.90%,51.00%,56.30%,43.70%
Kalamazoo Valley Community College,Kalamazoo Valley Community College,9489,Michigan,0.60%,1.40%,14.10%,3.90%,0.00%,2.60%,22.50%,0.90%,2.80%,73.70%,51.90%,48.10%
Long Island University -C.W. Post,Long Island University C.W. Post,9486,New York,0.10%,3.90%,7.60%,9.60%,0.00%,1.20%,22.30%,6.90%,28.40%,42.40%,61.90%,38.10%
Century College,Century College,9478,Minnesota,0.40%,17.00%,9.90%,6.80%,0.10%,4.70%,38.80%,1.50%,0.60%,59.00%,55.30%,44.70%
Columbia College Chicago,Columbia College Chicago,9440,Illinois,0.30%,3.10%,16.30%,9.50%,0.00%,4.60%,33.90%,3.00%,5.60%,57.50%,56.40%,43.60%
Burlington County College,Burlington County College,9438,New Jersey,0.20%,3.60%,19.80%,9.80%,0.20%,2.80%,36.50%,1.70%,5.20%,56.60%,57.60%,42.40%
University of Wisconsin-Stout,University Wisconsin Stout,9394,Wisconsin,0.30%,3.30%,1.70%,2.30%,0.10%,1.60%,9.40%,3.70%,0.80%,86.10%,49.20%,50.80%
Southeast Community College (Neb.),Southeast Community College (Neb.),9392,Nebraska,0.60%,3.80%,5.50%,5.60%,0.10%,1.90%,17.50%,0.00%,0.70%,81.80%,53.50%,46.50%
"City Colleges of Chicago, Harold Washington Colle","City Colleges Chicago, Harold Washington Colle",9392,Washington,0.20%,9.40%,31.60%,38.60%,0.10%,1.80%,81.80%,0.30%,4.30%,13.60%,57.40%,42.60%
Art Institute of Pittsburgh-Online,Art Institute Pittsburgh Online,9383,Pennsylvania,1.30%,1.20%,19.20%,11.20%,0.80%,0.00%,33.60%,0.00%,5.80%,60.60%,60.20%,39.80%
University of Southern Indiana,University Southern Indiana,9364,Indiana,0.20%,1.20%,4.40%,2.20%,0.10%,1.90%,10.00%,2.40%,2.00%,85.60%,62.20%,37.80%
Chattanooga State Community College,Chattanooga State Community College,9332,Tennessee,0.40%,1.50%,15.60%,3.30%,0.10%,2.20%,23.00%,0.30%,1.10%,75.60%,59.50%,40.50%
University of Wisconsin at Stevens Point,University Wisconsin Stevens Point,9330,Wisconsin,0.40%,2.50%,2.00%,2.90%,0.10%,1.80%,9.70%,1.70%,0.20%,88.40%,53.40%,46.60%
Norco College,Norco College,9304,California,0.30%,8.00%,6.30%,56.30%,0.30%,3.60%,74.90%,0.40%,0.80%,24.00%,53.60%,46.40%
Ocean County College,Ocean County College,9296,New Jersey,0.30%,1.80%,5.80%,9.70%,0.20%,1.50%,19.30%,0.80%,4.60%,75.30%,55.70%,44.30%
Sonoma State University,Sonoma State University,9290,California,0.50%,4.50%,2.20%,25.20%,0.20%,6.50%,39.20%,2.00%,7.00%,51.90%,62.90%,37.10%
Mt. Hood Community College,Mt. Hood Community College,9276,Oregon,1.00%,6.40%,4.80%,11.10%,0.70%,4.20%,28.20%,0.30%,12.70%,58.80%,52.10%,47.90%
Salem State University,Salem State University,9267,Massachusetts,0.20%,3.00%,7.50%,10.50%,0.00%,1.90%,23.10%,4.30%,3.70%,68.80%,63.20%,36.80%
Colorado State University Global Campus,Colorado State University Global,9259,Colorado,0.90%,3.10%,6.50%,11.30%,0.40%,0.80%,23.00%,0.30%,8.30%,68.30%,54.10%,45.90%
Pulaski Technical College,Pulaski Technical College,9241,Arkansas,0.30%,1.10%,47.90%,3.80%,0.10%,2.70%,55.90%,0.30%,3.40%,40.30%,64.30%,35.70%
Minneapolis Community and Technical College,Minneapolis Community and Technical College,9237,Minnesota,1.70%,5.90%,31.20%,9.90%,0.10%,8.00%,56.80%,1.40%,1.60%,40.20%,54.60%,45.40%
Lane Community College,Lane Community College,9236,Oregon,1.60%,2.00%,1.90%,9.50%,0.60%,4.40%,20.10%,2.80%,9.30%,67.80%,50.60%,49.40%
University of New Orleans,University New Orleans,9234,Louisiana,0.40%,7.10%,14.90%,9.10%,0.00%,3.10%,34.60%,6.60%,2.80%,56.00%,51.40%,48.60%
Texas Southern University,Texas Southern University,9233,Texas,0.50%,4.90%,78.30%,7.40%,0.10%,0.00%,91.10%,5.60%,0.30%,3.00%,58.00%,42.00%
Cuesta College,Cuesta College,9221,California,0.60%,3.10%,1.20%,29.20%,0.20%,4.90%,39.30%,0.30%,0.80%,59.60%,52.40%,47.60%
Kutztown University of Pennsylvania,Kutztown University Pennsylvania,9218,Pennsylvania,0.20%,1.10%,7.60%,7.20%,0.20%,2.10%,18.30%,1.10%,1.80%,78.80%,57.40%,42.60%
Regis University,Regis University,9208,Colorado,0.60%,4.60%,5.70%,15.10%,0.20%,2.50%,28.80%,1.20%,8.60%,61.40%,63.40%,36.60%
Middlesex Community College,Middlesex Community College,9205,Massachusetts,0.20%,11.40%,7.20%,17.50%,0.10%,2.00%,38.40%,1.40%,0.70%,59.50%,57.60%,42.40%
Hudson County Community College,Hudson County Community College,9203,New Jersey,0.20%,7.60%,13.90%,55.10%,0.70%,1.40%,79.00%,0.40%,8.80%,11.80%,57.90%,42.10%
Bristol Community College,Bristol Community College,9189,Massachusetts,0.30%,1.90%,7.90%,7.90%,0.00%,4.50%,22.70%,0.10%,3.30%,74.00%,61.10%,38.90%
Brown University,Brown University,9181,Rhode Island,0.30%,12.00%,6.00%,9.70%,0.10%,4.10%,32.20%,16.80%,8.70%,42.30%,51.00%,49.00%
Estrella Mountain Community College,Estrella Mountain Community College,9164,Arizona,1.20%,3.90%,8.80%,47.20%,0.20%,2.20%,63.40%,0.20%,4.30%,32.10%,59.30%,40.70%
Forsyth Technical Community College,Forsyth Technical Community College,9148,North Carolina,0.50%,1.90%,28.60%,7.70%,0.10%,2.10%,40.80%,0.70%,1.80%,56.70%,60.40%,39.60%
Evergreen Valley College,Evergreen Valley College,9133,California,0.60%,38.60%,2.90%,40.30%,0.50%,2.50%,85.30%,0.40%,6.90%,7.40%,53.50%,46.50%
Colorado Mesa University,Colorado Mesa University,9116,Colorado,0.70%,1.40%,2.40%,15.20%,0.60%,3.40%,23.80%,0.60%,3.40%,72.30%,54.00%,46.00%
University of Massachusetts at Dartmouth,University Massachusetts Dartmouth,9111,Massachusetts,0.20%,3.20%,10.70%,7.00%,0.00%,3.20%,24.30%,6.50%,6.40%,62.70%,48.30%,51.70%
San Jose City College,San Jose City College,9072,California,0.50%,24.00%,6.90%,41.50%,0.60%,4.10%,77.50%,0.20%,5.30%,17.10%,55.80%,44.20%
Cape Fear Community College,Cape Fear Community College,9062,North Carolina,0.90%,1.00%,15.00%,5.80%,0.20%,3.10%,26.00%,0.10%,1.60%,72.30%,54.10%,45.90%
West Valley College,West Valley College,9062,California,0.20%,16.40%,2.70%,25.20%,0.30%,5.10%,50.00%,1.10%,3.00%,46.00%,55.80%,44.20%
California State University Stanislaus,California State University Stanislaus,9045,California,0.40%,10.60%,2.50%,46.10%,0.70%,3.50%,63.80%,2.60%,6.20%,27.40%,65.30%,34.70%
Quinnipiac University,Quinnipiac University,9035,Connecticut,0.20%,3.20%,5.10%,7.70%,0.10%,1.50%,17.90%,2.20%,3.90%,76.00%,61.70%,38.30%
Tennessee State University,Tennessee State University,9027,Tennessee,0.20%,1.00%,63.70%,1.20%,0.00%,3.10%,69.20%,9.70%,0.80%,20.30%,61.00%,39.00%
Santa Clara University,Santa Clara University,9015,California,0.10%,15.70%,2.60%,14.20%,0.20%,5.10%,38.00%,13.50%,7.60%,40.90%,50.00%,50.00%
Butler Community College (Kan.),Butler Community College (Kan.),9003,Kansas,1.30%,4.00%,8.70%,11.00%,0.00%,0.00%,24.90%,1.60%,8.30%,65.20%,57.50%,42.50%
Northwestern State University,Northwestern State University Louisiana,9002,Louisiana,1.60%,0.80%,26.50%,4.60%,0.10%,3.30%,36.90%,1.00%,2.80%,59.30%,69.10%,30.90%
Edmonds Community College,Edmonds Community College,8993,Washington,1.00%,12.50%,5.50%,7.70%,0.40%,4.90%,31.90%,12.30%,9.40%,46.30%,52.20%,47.80%
Bucks County Community College,Bucks County Community College,8979,Pennsylvania,0.90%,3.00%,4.60%,5.40%,0.10%,2.30%,16.30%,0.20%,22.60%,60.90%,54.90%,45.10%
Saint Joseph's University (Pa.),Saint Joseph's University,8974,Pennsylvania,0.10%,3.00%,9.50%,4.70%,0.10%,1.60%,19.10%,4.20%,4.70%,72.00%,56.60%,43.40%
West Texas A&M University,West Texas A&M University,8972,Texas,0.60%,1.70%,5.90%,22.90%,0.10%,2.10%,33.20%,2.70%,2.30%,61.80%,55.70%,44.30%
Passaic County Community College,Passaic County Community College,8968,New Jersey,0.10%,5.40%,15.30%,51.70%,0.40%,0.60%,73.60%,0.60%,6.80%,19.00%,60.50%,39.50%
Mountain View College,Mountain View College,8950,Texas,0.30%,3.60%,24.70%,56.80%,0.00%,0.90%,86.40%,0.20%,2.60%,10.80%,57.60%,42.40%
Mott Community College,Mott Community College,8937,Michigan,0.60%,0.40%,17.60%,3.80%,0.10%,3.20%,25.80%,4.40%,7.70%,62.10%,59.20%,40.80%
College of San Mateo,College San Mateo,8935,California,0.20%,23.90%,3.30%,30.60%,2.00%,5.10%,65.10%,3.30%,1.80%,29.70%,49.80%,50.20%
University of Michigan at Dearborn,University Michigan Dearborn,8923,Michigan,0.40%,6.30%,9.20%,5.00%,0.10%,2.50%,23.50%,8.50%,3.20%,64.80%,47.20%,52.80%
"City Colleges of Chicago, Richard J. Daley College","City Colleges Chicago, Richard J. Daley College",8914,Illinois,0.10%,0.90%,17.40%,74.20%,0.00%,0.50%,93.20%,0.00%,1.60%,5.20%,61.20%,38.80%
Eastern Illinois University,Eastern Illinois University,8913,Illinois,0.20%,0.90%,16.80%,5.00%,0.10%,1.90%,24.90%,3.10%,2.10%,69.90%,60.40%,39.60%
Paradise Valley Community College,Paradise Valley Community College,8909,Arizona,1.50%,2.70%,3.20%,16.90%,0.20%,1.50%,26.00%,0.50%,13.70%,59.80%,56.40%,43.60%
University of Wisconsin at Platteville,University Wisconsin Platteville,8901,Wisconsin,0.30%,1.20%,1.90%,2.90%,0.10%,1.60%,8.00%,2.80%,0.30%,88.90%,36.00%,64.00%
Pitt Community College,Pitt Community College,8872,North Carolina,0.30%,1.00%,34.60%,3.00%,0.10%,0.80%,39.90%,0.60%,22.40%,37.10%,61.40%,38.60%
Las Positas College,Las Positas College,8835,California,0.20%,15.30%,4.50%,28.70%,0.50%,6.60%,55.80%,1.40%,1.20%,41.50%,50.20%,49.80%
NA,NA,8781,NA,5.50%,11.70%,85.80%,27.20%,6.90%,15.30%,96.30%,17.70%,77.90%,85.40%,83.70%,16.30%
Fairleigh Dickinson University,Fairleigh Dickinson University Metropolitan,8777,New Jersey,0.20%,5.20%,10.00%,21.20%,0.30%,0.60%,37.50%,12.70%,9.40%,40.30%,58.80%,41.20%
Salisbury University,Salisbury University,8770,Maryland,0.40%,2.50%,12.40%,3.90%,0.10%,3.50%,22.80%,1.80%,3.40%,72.00%,58.60%,41.40%
University of the Incarnate Word,University Incarnate Word,8745,Texas,0.30%,4.10%,7.80%,53.90%,0.20%,1.00%,67.30%,5.50%,5.50%,21.70%,61.10%,38.90%
Moreno Valley College,Moreno Valley College,8731,California,0.20%,5.70%,13.40%,59.30%,0.30%,4.30%,83.30%,0.40%,0.80%,15.60%,56.90%,43.10%
California State University at Bakersfield,California State University Bakersfield,8720,California,0.60%,6.50%,6.20%,49.70%,0.10%,2.80%,65.90%,3.00%,11.30%,19.80%,61.80%,38.20%
Davenport University,Davenport University,8715,Michigan,0.40%,4.20%,15.20%,2.30%,0.10%,2.30%,24.50%,3.50%,14.80%,57.20%,60.40%,39.60%
Los Medanos College,Los Medanos College,8695,California,0.10%,9.20%,15.70%,37.40%,0.60%,7.50%,70.50%,0.40%,1.20%,27.90%,53.40%,46.60%
Bossier Parish Community College,Bossier Parish Community College,8693,Louisiana,0.90%,0.60%,41.40%,6.40%,0.20%,1.90%,51.30%,0.20%,5.20%,43.30%,62.90%,37.10%
Waukesha County Technical College,Waukesha County Technical College,8692,Wisconsin,0.60%,2.70%,6.70%,5.60%,0.20%,2.10%,17.80%,0.00%,2.20%,79.90%,46.50%,53.50%
Winona State University,Winona State University,8684,Minnesota,0.10%,1.90%,2.30%,2.40%,0.10%,2.00%,8.70%,3.30%,1.60%,86.40%,62.50%,37.50%
University of Houston-Clear Lake,University Houston Clear Lake,8665,Texas,0.90%,5.70%,8.70%,26.40%,1.60%,2.30%,45.70%,16.00%,1.20%,37.00%,62.10%,37.90%
Jacksonville State University,Jacksonville State University,8659,Alabama,0.70%,0.60%,23.40%,1.30%,0.10%,0.00%,26.10%,2.40%,3.00%,68.50%,57.50%,42.50%
Cuyamaca College,Cuyamaca College,8644,California,0.40%,5.80%,6.00%,33.00%,0.50%,6.10%,51.80%,0.50%,1.40%,46.20%,53.20%,46.80%
Rhode Island College,Rhode Island College,8641,Rhode Island,0.40%,2.90%,7.40%,13.30%,0.10%,1.70%,25.80%,0.20%,9.00%,65.00%,69.00%,31.00%
Missouri University of Science and Technology,Missouri University Science and Technology,8640,Missouri,0.30%,2.60%,3.40%,3.00%,0.20%,1.90%,11.40%,17.50%,3.60%,67.50%,22.60%,77.40%
Virginia Western Community College,Virginia Western Community College,8632,Virginia,0.20%,2.70%,12.20%,3.30%,0.10%,3.30%,21.70%,0.50%,0.70%,77.10%,55.10%,44.90%
University of Alaska at Fairbanks,University Alaska Fairbanks,8620,Alaska,12.40%,1.40%,1.90%,4.50%,0.30%,3.70%,24.20%,3.00%,28.20%,44.60%,57.60%,42.40%
University of Michigan at Flint,University Michigan Flint,8574,Michigan,0.70%,2.00%,12.00%,3.50%,0.10%,2.70%,20.90%,7.70%,4.60%,66.80%,59.60%,40.40%
Stockton University,Stockton University,8570,New Jersey,0.10%,5.10%,6.20%,9.90%,0.10%,2.80%,24.30%,0.40%,1.70%,73.70%,60.90%,39.10%
Dixie State College of University ah,Dixie State College University ah,8570,Utah,1.30%,0.90%,2.20%,9.30%,1.30%,2.70%,17.80%,2.80%,1.50%,77.90%,53.00%,47.00%
Mercer University,Mercer University,8552,Georgia,0.50%,6.60%,29.80%,3.90%,0.10%,1.70%,42.60%,4.00%,5.20%,48.20%,62.00%,38.00%
Barry University,Barry University,8518,Florida,0.30%,2.10%,24.50%,23.90%,0.10%,1.00%,52.00%,6.70%,18.00%,23.30%,65.60%,34.40%
University of Louisiana at Monroe,University Louisiana Monroe,8517,Louisiana,0.30%,2.30%,22.70%,2.10%,0.00%,2.10%,29.60%,3.10%,2.50%,64.90%,63.90%,36.10%
University of La Verne,University La Verne,8517,California,0.40%,5.00%,6.40%,41.60%,0.40%,2.30%,56.00%,8.80%,12.60%,22.60%,59.40%,40.60%
Jefferson State Community College,Jefferson State Community College,8516,Alabama,0.20%,1.80%,20.50%,4.50%,0.10%,2.90%,30.00%,0.50%,0.10%,69.30%,61.30%,38.70%
Slippery Rock University of Pennsylvania,Slippery Rock University Pennsylvania,8495,Pennsylvania,0.20%,0.70%,5.00%,2.10%,0.10%,2.60%,10.50%,1.10%,2.30%,86.10%,58.70%,41.30%
City University of New York York College,City University New York York College,8493,New York,0.80%,23.90%,40.30%,23.00%,0.90%,0.80%,89.80%,3.70%,0.00%,6.50%,65.10%,34.90%
Humboldt State University,Humboldt State University,8485,California,1.00%,3.50%,3.80%,28.80%,0.20%,6.30%,43.50%,1.40%,7.10%,48.00%,54.60%,45.40%
College of Southern Idaho,College Southern Idaho,8473,Idaho,0.80%,0.90%,0.60%,16.50%,3.00%,1.40%,23.20%,0.70%,2.20%,73.90%,63.90%,36.10%
Quinsigamond Community College,Quinsigamond Community College,8452,Massachusetts,0.40%,4.40%,12.30%,16.50%,0.10%,2.00%,35.60%,0.20%,6.00%,58.10%,57.30%,42.70%
New Mexico State University Dona Ana Community College,New Mexico State University Dona Ana Community College,8448,New Mexico,1.30%,0.60%,2.30%,70.90%,0.10%,0.60%,75.80%,3.30%,3.30%,17.60%,57.40%,42.60%
Parkland College,Parkland College,8443,Illinois,0.50%,4.20%,15.40%,6.00%,0.00%,1.20%,27.30%,0.30%,12.60%,59.70%,50.90%,49.10%
College of William & Mary,College William & Mary,8437,Virginia,0.20%,6.60%,7.10%,7.50%,0.00%,3.80%,25.30%,7.90%,5.70%,61.20%,55.70%,44.30%
Mission College,Mission College,8435,California,0.10%,44.30%,3.90%,25.70%,0.50%,4.20%,78.70%,2.00%,1.80%,17.50%,55.00%,45.00%
Prairie View A&M University,Prairie View A&M University,8429,Texas,0.30%,2.90%,84.10%,2.70%,0.10%,0.70%,90.80%,2.50%,2.00%,4.80%,61.20%,38.80%
University of Southern Maine,University Southern Maine,8428,Maine,0.90%,1.90%,2.70%,1.70%,0.10%,2.00%,9.30%,0.80%,14.00%,75.80%,59.30%,40.70%
College of Southern Maryland,College Southern Maryland,8411,Maryland,0.50%,2.70%,25.60%,5.80%,0.30%,5.00%,40.00%,0.40%,1.80%,57.80%,61.00%,39.00%
State University of New York College at Farmingdale,State University New York College Farmingdale,8394,New York,0.20%,7.50%,10.10%,16.10%,0.50%,1.90%,36.20%,2.90%,0.40%,60.50%,42.90%,57.10%
Palo Alto College,Palo Alto College,8376,Texas,0.30%,1.10%,2.90%,69.20%,0.20%,1.70%,75.30%,0.10%,3.30%,21.30%,60.60%,39.40%
Post University,Post University,8366,Connecticut,0.50%,1.10%,21.60%,6.60%,0.30%,3.00%,33.10%,0.30%,30.60%,36.00%,61.10%,38.90%
Metropolitan State University,Metropolitan State University,8355,Minnesota,0.70%,12.10%,17.90%,4.80%,0.10%,4.10%,39.70%,2.20%,2.60%,55.50%,56.40%,43.60%
Long Island University at Brooklyn,Long Island University Brooklyn,8354,New York,0.30%,13.60%,29.40%,13.80%,0.10%,1.70%,58.80%,6.20%,10.90%,24.00%,69.80%,30.20%
University of San Diego,University San Diego,8349,California,0.50%,7.70%,3.50%,18.00%,0.40%,4.90%,34.90%,7.30%,5.00%,52.80%,57.00%,43.00%
Shasta College,Shasta College,8342,California,2.70%,3.30%,1.50%,14.20%,0.40%,4.40%,26.50%,0.20%,3.40%,69.90%,58.30%,41.70%
San Juan College,San Juan College,8323,New Mexico,31.90%,0.70%,0.90%,16.40%,0.10%,1.00%,51.10%,0.90%,3.80%,44.20%,54.10%,45.90%
Northeastern State University,Northeastern State University,8310,Oklahoma,21.10%,2.00%,4.30%,4.10%,0.10%,13.70%,45.30%,1.50%,2.30%,51.00%,62.30%,37.70%
Laredo Community College,Laredo Community College,8307,Texas,0.00%,0.30%,0.20%,97.60%,0.00%,0.10%,98.10%,0.10%,0.10%,1.60%,55.60%,44.40%
McLennan Community College,McLennan Community College,8294,Texas,0.30%,1.40%,13.90%,25.80%,0.00%,2.60%,44.10%,0.00%,0.40%,55.50%,65.70%,34.30%
Lakeland Community College,Lakeland Community College,8250,Ohio,0.50%,1.20%,15.90%,2.90%,0.10%,1.50%,22.20%,0.20%,4.20%,73.40%,59.80%,40.20%
McNeese State University,McNeese State University,8237,Louisiana,0.60%,1.50%,17.30%,2.60%,0.10%,2.10%,24.10%,4.40%,0.10%,71.50%,62.20%,37.80%
Creighton University,Creighton University,8236,Nebraska,0.40%,9.00%,4.00%,5.70%,0.30%,3.10%,22.60%,2.40%,2.60%,72.40%,57.20%,42.80%
Suffolk University,Suffolk University,8215,Massachusetts,0.10%,7.20%,6.30%,9.90%,0.00%,1.80%,25.30%,18.30%,10.00%,46.40%,56.40%,43.60%
Raritan Valley Community College,Raritan Valley Community College,8214,New Jersey,0.20%,6.00%,9.20%,17.30%,0.40%,2.10%,35.20%,2.90%,7.60%,54.40%,51.20%,48.80%
Gateway Community College (Conn.),Gateway Community College (Conn.),8200,Connecticut,0.20%,3.40%,25.70%,22.20%,0.10%,2.10%,53.70%,0.50%,5.40%,40.40%,58.40%,41.60%
Columbus State University,Columbus State University,8192,Georgia,0.40%,2.10%,35.70%,5.20%,0.20%,2.20%,45.90%,1.40%,0.00%,52.60%,59.80%,40.20%
Concordia University Wisconsin,Concordia University Wisconsin,8161,Wisconsin,1.00%,2.10%,12.30%,2.50%,0.10%,2.90%,20.80%,3.70%,6.20%,69.30%,68.50%,31.50%
Eastern Iowa Community College District Central Office,Eastern Iowa Community College District Central Office,8143,Iowa,0.50%,1.90%,6.40%,8.70%,0.20%,3.10%,20.70%,0.60%,4.10%,74.60%,56.10%,43.90%
New Jersey City University,New Jersey City University,8136,New Jersey,0.20%,8.10%,20.00%,32.20%,0.00%,1.20%,61.80%,1.80%,8.00%,28.50%,63.40%,36.60%
Imperial Valley College,Imperial Valley College,8135,California,0.10%,1.20%,0.70%,82.30%,0.10%,0.10%,84.40%,0.20%,7.30%,8.10%,56.70%,43.30%
Chapman University,Chapman University,8132,California,0.30%,10.90%,1.50%,14.10%,0.30%,5.50%,32.70%,5.60%,4.40%,57.30%,59.30%,40.70%
Red Rocks Community College,Red Rocks Community College,8112,Colorado,0.80%,2.60%,1.90%,13.20%,0.20%,3.50%,22.20%,1.60%,4.20%,72.10%,50.40%,49.60%
"State University of New York, The College at Brockport","State University New York, College Brockport",8106,New York,0.20%,1.50%,9.20%,4.80%,0.00%,2.40%,18.20%,1.50%,7.20%,73.20%,56.10%,43.90%
NorthWest Arkansas Community College,NorthWest Arkansas Community College,8098,Arkansas,1.50%,3.00%,2.30%,17.40%,0.30%,3.30%,27.80%,1.60%,1.80%,68.80%,57.70%,42.30%
County College of Morris,County College Morris,8096,New Jersey,0.30%,5.30%,4.80%,18.10%,0.20%,1.60%,30.30%,2.40%,8.50%,58.80%,49.50%,50.50%
Princeton University,Princeton University,8088,New Jersey,0.10%,15.90%,5.90%,7.10%,0.10%,3.50%,32.50%,20.90%,3.40%,43.20%,45.40%,54.60%
Millersville University of Pennsylvania,Millersville University Pennsylvania,8047,Pennsylvania,0.20%,2.20%,8.90%,7.60%,0.10%,2.20%,21.20%,0.70%,0.50%,77.50%,57.40%,42.60%
University of Texas at Tyler,University Texas Tyler,8036,Texas,0.30%,2.90%,10.10%,14.60%,0.10%,6.50%,34.50%,3.80%,2.00%,59.70%,58.90%,41.10%
State University of New York College at Oswego,State University New York College Oswego,8034,New York,0.10%,1.90%,6.20%,8.50%,0.10%,2.00%,18.90%,2.60%,0.20%,78.30%,52.00%,48.00%
Kapiolani Community College,Kapiolani Community College,7994,Hawaii,0.20%,41.50%,1.10%,8.20%,3.10%,25.20%,79.20%,9.10%,0.40%,11.30%,57.40%,42.60%
Augusta University,Augusta University,7988,Georgia,0.30%,6.30%,21.10%,5.00%,0.30%,4.10%,37.10%,1.90%,3.20%,57.80%,62.30%,37.70%
California University of PennsylvaniaPe,California University PennsylvaniaPe,7978,California,0.10%,0.80%,11.00%,3.20%,0.10%,2.90%,18.20%,0.90%,2.80%,78.10%,55.00%,45.00%
California Baptist University,California Baptist University,7957,California,0.70%,5.00%,8.40%,31.70%,0.90%,4.50%,51.30%,2.20%,5.70%,40.80%,65.40%,34.60%
Folsom Lake College,Folsom Lake College,7942,California,0.80%,9.50%,2.70%,16.70%,0.60%,5.50%,35.90%,0.30%,2.10%,61.70%,57.50%,42.50%
DeVry University of California,DeVry University California,7932,California,0.40%,13.80%,12.50%,33.00%,2.50%,1.60%,63.70%,3.30%,8.20%,24.80%,40.30%,59.70%
College of Central Florida,College Central Florida,7931,Florida,0.40%,1.60%,14.70%,14.00%,0.30%,0.00%,31.00%,1.20%,5.60%,62.20%,63.30%,36.70%
